,jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,incarcerated_total,incarcerated_white,incarcerated_black,incarcerated_hispanic,incarcerated_amerind,incarcerated_asian,incarcerated_other,incarcerated_unknown,incarcerated_nonwhite,Year
221,Kentucky,"4,172,608","11,134",190,"1,421",,"3,690","5,833","105,608","26,458","70,354",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
222,Louisiana,"4,507,331","26,889",450,"1,421",,"5,337","19,681","166,611","39,382","112,840",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
223,Maine,"1,318,220","1,483",19,326,,323,815,"31,889","6,323","24,218",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
224,Maryland,"5,589,599","39,369",552,"1,266",,"14,378","23,173","198,483","35,922","128,491",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
225,Massachusetts,"6,433,367","29,644",178,"1,751",,"7,837","19,878","151,727","34,728","98,079",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
226,Michigan,"10,100,833","55,936",629,"5,199",,"13,348","36,760","312,892","70,527","194,090",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
227,Minnesota,"5,126,739","15,243",115,"2,258",,"4,724","8,146","158,301","29,716","114,304",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
228,Mississippi,"2,908,496","8,131",214,"1,147",,"2,405","4,365","95,231","26,866","60,873",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
229,Missouri,"5,797,703","30,477",402,"1,625",,"7,196","21,254","227,809","42,822","159,288",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
230,Montana,"934,737","2,634",18,301,,177,"2,138","29,407","3,642","23,794",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
231,Nebraska,"1,758,163","5,052",44,581,,"1,040","3,387","60,348","9,408","45,359",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
232,Nevada,"2,412,301","14,654",206,"1,016",,"4,702","8,730","102,424","23,481","52,012",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
233,New Hampshire,"1,306,819","1,761",19,406,,365,971,"24,031","4,192","18,493",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
234,New Jersey,"8,703,150","30,919",417,"1,208",,"13,215","16,079","203,391","38,980","136,728",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
235,New Mexico,"1,925,985","12,448",144,"1,041",,"1,893","9,370","79,575","20,939","50,707",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
236,New York,"19,315,721","85,839",874,"3,636",,"35,179","46,150","405,990","68,034","302,220",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
237,North Carolina,"8,672,459","40,650",585,"2,302",,"12,635","25,128","353,855","104,298","221,091",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
238,North Dakota,"634,605",706,12,180,,54,460,"12,848","2,043","9,732",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
239,Ohio,"11,470,685","40,162",590,"4,671",,"18,673","16,228","420,705","100,183","279,051",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
240,Oklahoma,"3,543,442","18,044",187,"1,481",,"3,230","13,146","143,406","35,692","93,814",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
241,Oregon,"3,638,871","10,444",80,"1,266",,"2,478","6,620","160,199","27,621","113,316",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
242,Pennsylvania,"12,405,348","52,761",756,"3,586",,"19,214","29,205","300,444","56,134","214,916",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
243,Rhode Island,"1,073,579","2,710",34,323,,776,"1,577","29,287","5,319","19,567",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
244,South Carolina,"4,246,933","32,590",314,"1,862",,"5,657","24,757","185,606","42,741","126,489",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
245,South Dakota,"774,883","1,387",18,377,,145,847,"13,694","2,505","10,350",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
246,Tennessee,"5,955,745","45,104",431,"2,194",,"10,009","32,470","256,093","61,508","169,357",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
247,Texas,"22,928,508","121,091","1,407","8,511",,"35,790","75,383","990,293","219,828","677,042",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
248,Utah,"2,490,334","5,612",56,920,,"1,095","3,541","95,546","14,971","72,082",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
249,Vermont,"622,387",782,8,153,,76,545,"14,749","3,185","10,894",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
250,Virginia,"7,564,327","21,434",458,"1,763",,"7,495","11,718","200,404","29,829","154,584",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
251,Washington,"6,291,899","21,745",205,"2,811",,"5,788","12,941","307,661","60,343","198,031",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
252,West Virginia,"1,814,083","4,968",82,335,,816,"3,735","47,757","11,334","32,603",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
253,Wisconsin,"5,527,644","13,367",206,"1,135",,"4,555","7,471","147,556","24,448","110,531",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
254,Wyoming,"508,798","1,172",14,122,,78,958,"16,070","2,426","12,905",24991.858921161827,10884.1244813278,11410.100436681223,2627.3278688524592,268.7168674698795,94.56493506493507,570.2592592592592,50.110169491525426,14107.734439834025,2005
255,Alaska,"670,053","4,610",36,512,,600,"3,462","23,975","4,155","17,284",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
256,Arizona,"6,166,318","33,456",533,"2,449",,"9,491","20,983","294,389","59,418","178,321",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
257,Alabama,"4,599,030","19,553",382,"1,646",,"7,062","10,463","181,249","44,780","121,451",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
258,Arkansas,"2,810,872","15,538",205,"1,325",,"2,749","11,259","112,025","31,864","72,646",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
259,California,"36,457,549","194,483","2,486","9,235",,"71,142","111,620","1,159,988","247,230","669,103",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
260,Colorado,"4,753,377","18,794",171,"2,158",,"3,824","12,641","163,439","32,411","110,372",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
261,Connecticut,"3,504,809","10,505",137,696,,"4,460","5,212","90,638","15,583","64,765",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
262,Delaware,"853,476","5,983",42,417,,"1,791","3,733","29,670","6,337","20,449",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
263,DC,"581,530","8,772",169,185,,"3,829","4,589","27,064","3,835","15,908",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
264,Florida,"18,089,888","129,602","1,129","6,475",,"34,147","87,851","721,101","170,873","473,774",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
265,Georgia,"9,363,941","44,754",605,"2,169",,"15,511","26,469","362,712","85,140","234,445",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
266,Hawaii,"1,285,498","3,608",21,353,,"1,144","2,090","54,247","8,724","37,784",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
267,Idaho,"1,466,465","3,666",35,611,,294,"2,726","35,135","7,545","25,154",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
268,Illinois,"12,831,970","69,498",780,"4,078",,"23,782","40,858","387,478","77,259","272,578",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
269,Indiana,"6,313,520","20,303",361,"1,811",,"7,175","10,956","217,783","45,538","150,655",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
270,Iowa,"2,982,085","8,521",55,871,,"1,309","6,286","84,202","18,160","60,998",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
271,Kansas,"2,764,075","11,960",125,"1,279",,"1,878","8,678","104,260","20,086","75,450",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
272,Kentucky,"4,206,074","11,361",173,"1,312",,"3,850","6,026","109,428","27,867","72,197",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
273,Louisiana,"4,287,768","30,923",555,"1,587",,"5,928","22,853","174,975","46,703","112,605",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
274,Maine,"1,321,574","1,533",23,341,,383,786,"33,658","6,846","25,465",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
275,Maryland,"5,615,727","38,111",546,"1,178",,"14,376","22,011","195,484","37,459","127,502",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
276,Massachusetts,"6,437,193","32,217",188,"1,771",,"8,080","22,178","153,943","35,243","100,725",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
277,Michigan,"10,095,643","56,981",721,"5,347",,"14,229","36,684","325,594","76,313","199,183",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
278,Minnesota,"5,167,101","16,042",126,"1,645",,"5,441","8,830","159,276","30,306","115,693",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
279,Mississippi,"2,910,540","9,076",231,"1,039",,"3,259","4,547","92,853","27,117","57,406",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
280,Missouri,"5,842,713","31,897",369,"1,764",,"7,597","22,167","224,007","44,734","153,874",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
281,Montana,"944,632","3,564",33,348,,233,"2,950","26,986","3,380","21,659",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
282,Nebraska,"1,768,331","5,197",51,577,,"1,136","3,433","59,411","9,535","44,710",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
283,Nevada,"2,495,529","18,687",226,"1,092",,"7,038","10,331","102,338","24,902","50,429",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
284,New Hampshire,"1,314,895","1,785",13,295,,435,"1,042","26,060","4,395","20,179",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
285,New Jersey,"8,724,560","30,550",427,"1,201",,"13,360","15,562","198,820","39,384","134,687",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
286,New Mexico,"1,954,599","12,797",134,"1,073",,"2,095","9,495","76,000","20,906","45,864",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
287,New York,"19,306,183","84,016",922,"3,168",,"34,459","45,467","398,577","68,617","297,827",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
288,North Carolina,"8,856,505","42,088",539,"2,495",,"13,468","25,586","364,549","107,333","227,114",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
289,North Dakota,"635,867","1,255",14,241,,75,925,"13,359","2,601","9,672",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
290,Ohio,"11,478,006","41,491",560,"4,770",,"19,418","16,743","423,334","105,639","279,718",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
291,Oklahoma,"3,579,212","17,905",210,"1,488",,"3,145","13,062","129,728","34,437","81,853",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
292,Oregon,"3,700,758","10,534",88,"1,219",,"2,711","6,516","137,858","24,324","98,897",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
293,Pennsylvania,"12,440,621","55,028",741,"3,611",,"21,095","29,581","304,589","57,739","217,142",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
294,Rhode Island,"1,067,610","2,460",27,289,,740,"1,404","27,914","5,453","18,852",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
295,South Carolina,"4,321,249","33,322",362,"1,834",,"5,902","25,224","184,712","42,952","125,075",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
296,South Dakota,"781,919","2,071",30,465,,158,"1,418","13,812","3,024","9,954",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
297,Tennessee,"6,038,803","46,043",419,"2,194",,"11,143","32,287","249,860","63,024","164,183",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
298,Texas,"23,507,783","121,602","1,386","8,429",,"37,256","74,531","959,846","215,710","648,711",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
299,Utah,"2,550,063","5,771",51,891,,"1,242","3,587","89,572","14,721","66,480",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
300,Vermont,"623,908",905,14,173,,114,604,"14,920","3,443","10,857",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
301,Virginia,"7,642,884","21,683",403,"1,829",,"7,779","11,672","190,257","32,166","143,292",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
302,Washington,"6,395,798","22,303",197,"2,748",,"6,424","12,934","288,456","58,843","183,179",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
303,West Virginia,"1,818,470","5,113",80,404,,853,"3,776","47,941","11,579","32,305",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
304,Wisconsin,"5,556,506","15,899",165,"1,233",,"5,564","8,937","156,748","27,038","115,682",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
305,Wyoming,"515,004","1,307",13,151,,72,"1,071","15,381","2,322","12,255",29627.166666666668,12441.484126984127,13077.4875,5350.909090909091,277.5,94.2051282051282,601.2152777777778,55.225,17185.68253968254,2006
306,Alaska,"683,478","4,520",43,545,,581,"3,351","23,096","3,734","16,929",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
307,Arizona,"6,338,755","32,835",548,"2,353",,"9,764","20,170","287,308","59,988","177,076",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
308,Alabama,"4,627,851","20,775",412,"1,548",,"7,398","11,417","184,082","45,379","124,465",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
309,Arkansas,"2,834,797","15,226",198,"1,294",,"3,105","10,629","112,130","32,035","73,096",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
310,California,"36,553,215","191,561","2,262","9,046",,"70,706","109,547","1,112,510","237,850","654,526",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
311,Colorado,"4,861,515","17,101",155,"2,075",,"3,461","11,410","145,808","28,633","100,519",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
312,Connecticut,"3,502,309","10,547",113,690,,"4,303","5,441","86,528","15,640","60,937",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
313,Delaware,"864,764","6,100",39,341,,"1,763","3,957","29,216","6,420","20,454",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
314,DC,"588,292","8,325",181,192,,"4,265","3,687","28,922","3,926","17,390",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
315,Florida,"18,251,243","131,878","1,202","6,149",,"38,155","86,372","746,249","181,836","490,783",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
316,Georgia,"9,544,750","46,917",720,"2,198",,"17,291","26,708","371,248","90,294","238,436",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
317,Hawaii,"1,283,388","3,544",24,377,,"1,122","2,021","52,866","9,089","37,494",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
318,Idaho,"1,499,402","3,841",49,607,,243,"2,942","34,124","7,131","24,727",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
319,Illinois,"12,852,548","68,528",752,"4,103",,"23,100","40,573","377,322","75,524","267,911",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
320,Indiana,"6,345,289","21,310",350,"1,738",,"7,845","11,377","213,887","46,485","147,999",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
321,Iowa,"2,988,046","8,970",39,970,,"1,328","6,633","79,133","17,176","57,018",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
322,Kansas,"2,775,997","12,730",106,"1,287",,"2,022","9,315","102,961","20,461","73,900",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
323,Kentucky,"4,241,474","12,329",206,"1,365",,"4,068","6,690","107,987","27,820","71,489",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
324,Louisiana,"4,293,204","31,789",625,"1,427",,"6,316","23,421","180,516","46,932","118,291",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
325,Maine,"1,317,207","1,565",20,392,,349,804,"32,249","6,745","24,228",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
326,Maryland,"5,618,344","36,063",554,"1,179",,"13,258","21,072","192,796","37,095","127,308",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
327,Massachusetts,"6,449,755","28,487",187,"1,643",,"7,021","19,636","154,743","35,767","103,925",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
328,Michigan,"10,071,822","53,765",661,"4,592",,"13,365","35,147","308,550","75,273","191,289",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
329,Minnesota,"5,197,621","15,054",116,"1,873",,"4,770","8,295","158,257","29,717","115,892",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
330,Mississippi,"2,918,785","8,502",202,"1,033",,"2,896","4,371","90,887","27,223","56,473",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
331,Missouri,"5,878,415","32,962",367,"1,785",,"7,728","23,082","225,113","44,897","156,319",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
332,Montana,"957,861","3,638",27,363,,233,"3,015","27,837","3,476","22,315",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
333,Nebraska,"1,774,571","5,524",71,550,,"1,115","3,788","55,765","9,035","41,484",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
334,Nevada,"2,565,382","19,365",193,"1,096",,"6,938","11,138","97,118","24,911","49,844",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
335,New Hampshire,"1,315,828","1,896",12,357,,451,"1,076","26,394","5,074","19,909",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
336,New Jersey,"8,685,920","28,544",381,"1,032",,"12,567","14,564","192,338","37,234","133,145",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
337,New Mexico,"1,969,915","13,311",183,"1,028",,"2,323","9,777","75,168","20,823","45,442",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
338,New York,"19,297,729","79,962",805,"2,928",,"31,085","45,144","383,624","64,914","290,681",30249.178294573645,12777.337209302326,13344.134146341463,5293.934306569343,282.11309523809524,96.1474358974359,640.1066666666667,71.91666666666667,17471.841085271317,2007
